kana,kanji,rank
いびき,,6000
いふく,衣服,6000
いま,今,2000
いまごろ,今頃,6000
いまさら,今更,6000
いまにも,今,6000
いままで,今,6000
いみ,意味,2000
いみん,移民,6000
いも,芋,6000
いもうと,妹,2000
いや,否,2000
いやいや,,6000
いやがる,嫌,6000
いやしい,卑,6000
いやに,,6000
いやらしい,,6000
いよいよ,,6000
いよく,意欲,6000
いらい,以来,6000
いらいら,,6000
いらっしゃいませ,,2000
いらっしゃる,,2000
いりぐち,入口,2000
いりょう,衣料,6000
いる,要,2000
いるい,衣類,6000
いれもの,入物,6000
いれる,入,2000
いろ,色,2000
いろいろ,,2000
いろんな,,6000
いわ,岩,2000
いわい,祝,6000
いわう,祝,2000
いわし,,6000
いわば,言,6000
いわゆる,,6000
いんさつ,印刷,2000
いんしょう,印象,2000
いんよう,引用,6000
うえ,上,2000
うえき,植木,6000
うえした,上下,6000
うえる,植,2000
うかがう,伺,2000
うかぶ,浮,2000
うかべる,浮,6000
うがい,,6000
うく,浮,2000
うけいれる,受入,6000
うけつぐ,受継,6000
うけつけ,受付,2000
うけつける,受付,6000
うけとめる,受止,6000
うけとり,受取,6000
うけとる,受取,2000
うけみ,受身,6000
うけもち,受持,6000
うける,受,2000
うごかす,動,2000
うごき,動,6000
うごく,動,2000
うさぎ,,6000
うし,牛,2000
うしなう,失,6000
うしろ,後,2000
うすい,薄,2000
うすぐらい,薄暗,6000
うすめる,薄,6000
うずめる,埋,6000
うそ,,2000
うた,歌,2000
うたう,歌,2000
うたがい,疑,6000
うたがう,疑,2000
うたごえ,歌声,6000
うち,内・家,2000
うちあける,打明,6000
うちあわせ,打合,6000
うちあわせる,打合,6000
うちがわ,内側,6000
うちけし,打消,6000
うちこむ,打込,6000
うちゅう,宇宙,6000
うちわ,団扇,6000
うっかり,,2000
うったえ,訴,6000
うったえる,訴,6000
うっとうしい,,6000
うつ,打・討・撃・射,2000
うつくしい,美,2000
うつす,写・映,2000
うつむく,,6000
うつる,移,2000
うつわ,器,6000
うてん,雨天,6000
うで,腕,2000
うでどけい,腕時計,6000
うでまえ,腕前,6000
うどん,,6000
うなぎ,,6000
うなずく,,6000
うなる,,6000
うぬぼれ,,6000
うばう,奪,6000
うま,馬,2000
うまい,,2000
うまれ,生,6000
うまれつき,,6000
うまれる,生,2000
うみ,海,2000
うむ,産,2000
うめ,梅,6000
うめぼし,梅干,6000
うめる,埋,6000
うら,裏,2000
うらおもて,裏表,6000
うらがえし,裏返,6000
うらがえす,裏返,6000
うらぎる,裏切,6000
うらぐち,裏口,6000
うらみ,恨,6000
うらむ,恨,6000
うらもん,裏門,6000
うらやましい,,2000
うりきれ,売切,6000
うりきれる,売切,6000
うりだす,売出,6000
うりば,売場,6000
うりもの,売物,6000
うる,売,2000
うるさい,,2000
うれしい,嬉,2000
うれる,売,2000
うろうろ,,6000
うわ,上,2000
うわき,浮気,6000
うわぎ,上着,2000
うわさ,噂,2000
うん,運,2000
うんえい,運営,6000
うんが,運河,6000
うんちん,運賃,6000
うんてん,運転,2000
うんてんしゅ,運転手,6000
うんと,,6000
うんどう,運動,2000
うんどうかい,運動会,6000
うんどうじょう,運動場,2000
うんどうば,運動場,2000
うんぱん,運搬,6000
うんめい,運命,6000
うんゆ,運輸,6000
え,絵,2000
えいえん,永遠,6000
えいが,映画,2000
えいがかん,映画館,6000
えいきゅう,永久,6000
えいきょう,影響,2000
えいぎょう,営業,6000
えいこく,英国,6000
えいご,英語,2000
えいせい,衛生,6000
えいせいてき,衛生的,6000
えいぶん,英文,6000
えいゆう,英雄,6000
えいよう,栄養,2000
えいわ,英和,6000
ええ,,2000
えがお,笑顔,6000
えがく,描,6000
えき,駅,2000
