kana,kanji,rank
くさい,臭,2000
くさき,草木,6000
くさり,鎖,6000
くさる,腐,2000
くし,櫛,6000
くしゃくしゃ,,6000
くしゃみ,,6000
くしん,苦心,2000
くじ,籤,6000
くすぐったい,,6000
くすり,薬,2000
くすりゆび,薬指,6000
くず,屑,6000
くずす,崩,6000
くずれる,崩,2000
くせ,癖,2000
くたくた,,6000
くたびれる,,6000
くだ,管,6000
くだく,砕,6000
くだける,砕,6000
くださる,下,2000
くだもの,果物,2000
くだらない,,6000
くだり,下,2000
くだる,下,2000
くち,口,2000
くちびる,唇,2000
くちべに,口紅,6000
くつ,靴,2000
くつう,苦痛,6000
くつした,靴下,2000
くとうてん,句読点,6000
くに,国,2000
くばる,配,2000
くび,首,2000
くふう,工夫,2000
くべつ,区別,2000
くま,熊,6000
くみ,組,2000
くみあい,組合,6000
くみあわせ,組合,6000
くみあわせる,組合,6000
くみたてる,組立,6000
くむ,汲,6000
くも,雲,2000
くもり,曇,2000
くもる,曇,2000
くやくしょ,区役所,6000
くやしい,悔,2000
くらい,暗,2000
くらし,暮,6000
くらす,暮,2000
くらべる,比,2000
くりかえす,繰返,2000
くる,来,2000
くるう,狂,6000
くるしい,苦,2000
くるしみ,苦,6000
くるしむ,苦,2000
くるしめる,苦,6000
くるま,車,2000
くるむ,,6000
くれ,暮,6000
くれる,,2000
くろ,黒,2000
くろい,黒,2000
くろう,苦労,2000
くろうと,玄人,6000
くろじ,黒字,6000
くわえる,加,2000
くわしい,詳,2000
くわわる,加,6000
くん,訓,6000
くんれん,訓練,6000
ぐあい,具合,2000
ぐうすう,偶数,6000
ぐうぜん,偶然,6000
ぐずぐず,,6000
ぐたい,具体,6000
ぐたいてき,具体的,6000
ぐっすり,,6000
ぐらぐら,,6000
ぐるっと,,6000
ぐん,軍,6000
ぐんかん,軍艦,6000
ぐんしゅう,群集・群衆,6000
ぐんじ,軍事,6000
ぐんじん,軍人,6000
ぐんたい,軍隊,6000
ぐんび,軍備,6000
け,毛,2000
けい,刑,6000
けいえい,経営,6000
けいか,経過,6000
けいかい,軽快,6000
けいかく,計画,2000
けいかん,警官,2000
けいき,景気,2000
けいぐ,敬具,6000
けいけん,経験,2000
けいこ,稽古,6000
けいこう,傾向,2000
けいこうとう,蛍光灯,6000
けいこく,警告,6000
けいご,敬語,6000
けいさい,掲載,6000
けいさつ,警察,2000
けいさん,計算,2000
けいざい,経済,2000
けいざいてき,経済的,6000
けいしき,形式,2000
けいしきてき,形式的,6000
けいしゃ,傾斜,6000
けいじ,刑事,6000
けいせい,形成,6000
けいそつ,軽率,6000
けいぞく,継続,6000
けいたい,携帯,6000
けいと,毛糸,6000
けいとう,系統,6000
けいば,競馬,6000
けいひ,経費,6000
けいべつ,軽蔑,6000
けいやく,契約,6000
けいゆ,経由,6000
けいようし,形容詞,6000
けいようどうし,形容動詞,6000
けいれき,経歴,6000
けが,怪我,2000
けさ,今朝,2000
けし,消,2000
けしき,景色,2000
けしょう,化粧,2000
けす,消,2000
けずる,削,2000
けだもの,獣,6000
けち,,6000
けっか,結果,2000
けっかく,結核,6000
けっかん,血管,6000
けっきょく,結局,2000
けっこう,結構,2000
けっこん,結婚,2000
けっさく,傑作,6000
けっさん,決算,6000
けっして,決,2000
けっしょう,決勝,6000
けっしん,決心,2000
けっせき,欠席,2000
けってい,決定,2000
けってん,欠点,2000
けつあつ,血圧,6000
けつい,決意,6000
けつえき,血液,6000
けつろん,結論,6000
けなす,,6000
けはい,気配,6000
けむい,煙,6000
けむたい,煙,6000
けむり,煙,2000
けむる,煙,6000
けもの,獣,6000
ける,蹴,2000
けれど,,6000
けれども,,2000
けわしい,険,6000
けん,県,2000
けんい,権威,6000
けんか,喧嘩,2000
けんかい,見解,6000
けんがく,見学,6000
けんきゅう,研究,2000
けんこう,健康,2000
けんさ,検査,2000
けんしょう,懸賞,6000
けんじ,検事,6000
けんせつ,建設,2000
けんぜん,健全,6000
けんそん,謙遜,6000
けんち,見地,6000
けんちく,建築,2000
けんちょう,県庁,6000
けんとう,見当,6000
けんどう,剣道,6000
けんぶつ,見物,2000
けんぶつにん,見物人,6000
けんぽう,憲法,6000
けんめい,賢明,6000
けんり,権利,2000
けんりょく,権力,6000
げ,下,2000
げい,芸,6000
げいじゅつ,芸術,2000
げいのう,芸能,6000
げか,外科,6000
げき,劇,2000
げきじょう,劇場,6000
げきれい,激励,6000
げしゃ,下車,6000
げしゅく,下宿,2000
げじゅん,下旬,6000
げた,下駄,2000
げっきゅう,月給,6000
げっしゃ,月謝,6000
げっしょく,月食,6000
げっぷ,月賦,6000
げつ,月曜・月,2000
げつまつ,月末,6000
げつよう,月曜・月,2000
げひん,下品,6000
げり,下痢,2000
げん,現,6000
げんいん,原因,2000
げんかい,限界,6000
げんかん,玄関,2000
げんき,元気,2000
げんきん,現金,2000
げんこう,原稿,6000
げんこうようし,原稿用紙,6000
げんご,言語,2000
げんさく,原作,6000
げんざい,現在,2000
げんし,原子,6000
げんしょ,原書,6000
げんしょう,現象,6000
げんじつ,現実,6000
げんじゅう,厳重,6000
げんじゅうしょ,現住所,6000
げんじょう,現状,6000
げんそ,元素,6000
げんそく,原則,2000
げんだい,現代,2000
げんち,現地,6000
げんど,限度,6000
げんば,現場,6000
げんばく,原爆,6000
げんり,原理,6000
げんりょう,原料,6000
げんろん,言論,6000
こ,子,2000
こい,濃,2000
こいしい,恋,6000
こいする,恋,6000
こいびと,恋人,2000
こう,,2000
こうい,好意,6000
こういん,行員,6000
こううん,幸運,6000
こうえん,公園,2000
こうか,効果,2000
こうかい,後悔,2000
こうかん,交換,6000
こうがい,郊外,2000
こうき,後期,6000
こうきゅう,高級,6000
こうきょう,公共,6000
こうぎ,講義,2000
こうぎょう,工業,2000
こうくう,航空,6000
こうくうき,航空機,6000
こうくうびん,航空便,2000
こうけい,光景,6000
こうげい,工芸,6000
こうげき,攻撃,6000
こうげん,高原,6000
こうこう,高校,2000
こうこうせい,高校生,6000
こうこく,広告,2000
こうご,口語,6000
こうごう,皇后,6000
こうさ,交差・交叉,6000
こうさい,交際,2000
こうさてん,交差点,6000
こうざん,鉱山,6000
こうし,講師,6000
こうしき,公式,6000
こうして,,6000
こうしゃ,校舎,6000
こうしょう,交渉,6000
こうしん,行進,6000
こうじ,工事,2000
こうじょう,工場,2000
こうすい,香水,6000
こうずい,洪水,6000
こうせい,構成,6000
こうせん,光線,6000
こうぜん,公然,6000
こうそう,構想,6000
こうそくどうろ,高速道路,6000
こうぞう,構造,6000
こうたい,交替,6000
こうちゃ,紅茶,6000
こうちょう,好調,6000
こうつう,交通,2000
こうつうひ,交通費,6000
こうてい,肯定,2000
こうとう,高等,6000
こうとうがっこう,高等学校,6000
こうどう,行動,2000
こうにゅう,購入,6000
こうはい,後輩,6000
こうはん,後半,6000
こうば,工場,2000
こうばん,交番,2000
こうふ,交付,6000
こうふく,幸福,2000
こうふん,興奮,6000
こうぶつ,鉱物,6000
こうへい,公平,2000
こうほ,候補,6000
こうみょう,巧妙,6000
こうむ,公務,6000
こうむいん,公務員,6000
こうもく,項目,6000
こうよう,紅葉,6000
こうり,小売,6000
こうりつ,公立,6000
こうりょ,考慮,6000
こうりょく,効力,6000
こえ,声,2000
こえる,越,2000
こおり,氷,2000
こおる,凍,2000
こがた,小型,6000
こきゅう,呼吸,2000
こきょう,故郷,6000
こぎって,小切手,6000
こくがい,国外,6000
こくご,国語,6000
こくさい,国際,2000
こくさん,国産,6000
こくせき,国籍,2000
こくてつ,国鉄,2000
こくでん,国電,6000
こくど,国土,6000
こくない,国内,6000
こくはく,告白,6000
こくばん,黒板,2000
こくほう,国宝,6000
こくぼう,国防,6000
こくみん,国民,2000
こくめい,国名,6000
こくゆう,国有,6000
こくりつ,国立,6000
こくれん,国連,6000
こぐ,漕,6000
こげる,焦,6000
ここ,,2000
ここち,心地,6000
ここのか,九日,2000
ここのつ,九,2000
こころ,心,2000
こころえ,心得,6000
こころえる,心得,6000
こころがけ,心掛,6000
こころがける,心掛,6000
こころざす,志,6000
こころづよい,心強,6000
こころぼそい,心細,6000
こころみ,試,6000
こころみる,試,6000
こころよい,快,6000
こごえる,凍,6000
こさめ,小雨,6000
こし,腰,2000
こしかけ,腰掛,6000
こしかける,腰掛,2000
こしょう,故障,2000
こしらえる,,6000
こじき,乞食,6000
こじん,個人,6000
こす,越,6000
こする,,2000
こせい,個性,6000
こせき,戸籍,6000
こたい,固体,6000
こたえ,答,6000
こたえる,答,2000
こだい,古代,6000
こちょう,誇張,6000
こちら,,2000
こっか,国家,6000
こっかい,国会,6000
こっき,国旗,6000
こっきょう,国境,6000
こっこう,国交,6000
こっそり,,6000
こっち,,2000
こつ,,6000
こつこつ,,6000
こづかい,小遣,2000
こづつみ,小包,6000
こてい,固定,6000
こてん,古典,6000
こと,事,2000
ことがら,事柄,6000
ことごとく,,6000
ことし,今年,2000
ことづける,言付,6000
ことなる,異,6000
ことによると,,6000
ことば,言葉,2000
ことばづかい,言葉遣,6000
ことり,小鳥,6000
ことわざ,,6000
ことわる,断,2000
こどく,孤独,6000
こども,子供,2000
こな,粉,2000
こないだ,,2000
この,,2000
このあいだ,,2000
このごろ,,2000
このましい,好,6000
このみ,好,6000
このむ,好,6000
こぼす,,6000
こぼれる,,6000
こまか,細,2000
こまる,困,2000
こむ,込・混,2000
こむぎ,小麦,6000
こむぎこ,小麦粉,6000
こめ,米,2000
こめる,込,6000
こや,小屋,6000
こゆう,固有,6000
こゆび,小指,6000
こよみ,暦,6000
こらえる,,6000
こりる,懲,6000
こる,凝,6000
これ,,2000
これから,,2000
ころ,頃,2000
ころがす,転,6000
ころがる,転,6000
ころす,殺,2000
ころぶ,転,2000
こわい,怖,2000
こわがる,怖,6000
こわす,壊,2000
こわれる,壊,2000
こん,紺,6000
こんかい,今回,6000
こんきょ,根拠,6000
こんげつ,今月,2000
こんご,今後,6000
こんざつ,混雑,6000
こんしゅう,今週,2000
こんだて,献立,6000
こんちゅう,昆虫,6000
こんど,今度,2000
こんな,,2000
こんなに,,6000
こんなん,困難,2000
こんにち,今日,6000
こんにちは,今日,2000
こんばん,今晩,2000
こんばんは,今晩,2000
こんぶ,昆布,6000
こんぽん,根本,6000
こんや,今夜,2000
こんやく,婚約,6000
こんらん,混乱,2000
ご,御,2000
ごい,語彙,6000
ごういん,強引,6000
ごうか,豪華,6000
ごうかく,合格,6000
ごうけい,合計,2000
ごうせい,合成,6000
ごうとう,強盗,6000
ごうどう,合同,6000
ごうり,合理,6000
ごうりか,合理化,6000
ごうりてき,合理的,6000
ごかい,誤解,2000
ごがく,語学,6000
ごく,極,6000
ごくろうさま,,6000
ごげん,語源,6000
ごご,午後/後,2000
ございます,,2000
ごじゅうおん,五十音,6000
ごぜん,午前,2000
ごぞんじ,存,6000
ごちそう,御馳走,2000
ごちそうさま,御馳走様,6000
ごはん,御飯,2000
ごまかす,,6000
ごみ,塵・芥,2000
ごめん,御免,6000
ごめんください,御免下,6000
ごらく,娯楽,6000
ごらん,御覧,2000
さ,差,6000
さあ,,2000
さい,最,6000
さいかい,再開,6000
さいがい,災害,6000
さいきん,最近,2000
さいく,細工,6000
さいけん,再建,6000
さいこう,最高,6000
さいご,最後,2000
さいさん,採算,6000
さいし,妻子,6000
さいしゅう,採集,6000
さいしょ,最初,2000
さいじつ,祭日,6000
さいじょう,最上,6000
さいそく,催促,2000
さいだい,最大,6000
さいちゅう,最中,2000
さいてい,最低,6000
さいてん,採点,6000
さいのう,才能,2000
さいばい,栽培,6000
さいばん,裁判,2000
さいばんしょ,裁判所,6000
さいふ,財布,2000
さいほう,裁縫,6000
さいぼう,細胞,6000
さいよう,採用,6000
さいわい,幸,6000
さえぎる,,6000
さえずる,,6000
さお,竿,6000
さか,坂,2000
さかい,境,2000
さかえる,栄,6000
さかさま,逆様,6000
さかずき,杯,6000
さかな,魚,2000
さかのぼる,遡,6000
さかや,酒屋,6000
さかん,盛,2000
さがす,捜・探,2000
さがる,下,2000
さき,先,2000
さきほど,先程,6000
さぎ,詐欺,6000
さぎょう,作業,2000
さく,咲,2000
さくいん,索引,6000
さくしゃ,作者,2000
さくじつ,昨日,6000
さくせい,作製,6000
さくせん,作戦,6000
さくねん,昨年,2000
さくばん,昨晩,6000
さくひん,作品,2000
さくぶん,作文,2000
さくもつ,作物,6000
さくや,昨夜,6000
さくら,桜,2000
さぐる,探,6000
さけ,酒,2000
さけび,叫,6000
さけびごえ,叫声,6000
さけぶ,叫,2000
さける,避,2000
さげる,下,2000
ささえる,支,6000
ささる,刺,6000
さしあげる,差上,2000
さしず,指図,6000
さしだす,差出,6000
さしつかえ,差支,6000
さしつかえる,差支,6000
さしひき,差引,6000
さしみ,刺身,6000
さじ,匙,2000
さす,刺・指・射,2000
さすが,流石,6000
さずける,授,6000
さそう,誘,2000
さだめる,定,6000
さっか,作家,2000
さっかく,錯覚,6000
さっき,,2000
さっきょく,作曲,6000
さっさ,,6000
さっする,察,6000
さっそく,早速,2000
さっぱり,,6000
さつ,冊,2000
さつえい,撮影,6000
さつじん,殺人,6000
さつまいも,,6000
さて,,6000
さとう,砂糖,2000
さとる,悟,6000
さびしい,寂,2000
さびる,錆,6000
さま,様,6000
さまざま,様々,6000
さます,冷,6000
さまたげる,妨,6000
さむい,寒,2000
さむさ,寒,6000
さめる,覚,2000
さゆう,左右,6000
さよう,作用,6000
さようなら,,2000
さよなら,,2000
さら,皿,2000
さらいしゅう,再来週,6000
さらいねん,再来年,2000
さる,猿,2000
さわがしい,騒,6000
さわぎ,騒,6000
さわぐ,騒,2000
さわやか,,6000
さわる,触,2000
さん,,2000
さんいん,山陰,6000
さんか,参加,2000
さんかく,三角,2000
さんかくけい,三角形,6000
さんぎいん,参議院・参院,6000
さんぎょう,産業,2000
さんこう,参考,2000
さんこうしょ,参考書,6000
さんしょう,参照,6000
さんせい,賛成,2000
さんそ,酸素,6000
さんち,産地,6000
さんぶつ,産物,6000
さんぽ,散歩,2000
さんみゃく,山脈,6000
さんよう,山陽,6000
ざいがく,在学,6000
ざいこ,在庫,6000
ざいさん,財産,2000
ざいせい,財政,6000
ざいもく,材木,6000
ざいりょう,材料,2000
ざしき,座敷,6000
ざせき,座席,6000
ざっ,,6000
ざっし,雑誌,2000
ざつおん,雑音,6000
ざつだん,雑談,6000
ざぶとん,座蒲団,6000
ざんこく,残酷,6000
ざんねん,残念,2000
し,四,2000
しあい,試合,2000
しあげ,仕上,6000
しあげる,仕上,6000
しあわせ,幸,2000
しいる,強,6000
しいん,子音,6000
しお,塩,2000
しおからい,塩辛,6000
しおん,子音,6000
しか,鹿,6000
しかい,司会,6000
しかく,四角,2000
しかし,,2000
しかしながら,,6000
しかた,仕方,2000
しかたがない,仕方,6000
しかも,,2000
しかる,叱,2000
しき,式,2000
しきさい,色彩,6000
しきち,敷地,6000
しきゅう,至急,6000
しきり,,6000
しきん,資金,6000
しく,敷,2000
しくじる,,6000
しくみ,仕組,6000
しけい,死刑,6000
しけん,試験,2000
しげき,刺激,2000
しげる,茂,2000
しげん,資源,6000
しこく,四国,6000
しごと,仕事,2000
しさつ,視察,6000
ししゃ,死者,6000
ししゃごにゅう,四捨五入,6000
ししゅう,刺繍,6000
ししゅつ,支出,2000
しじ,支持,6000
しじゅう,始終,6000
しじょう,市場,6000
しじん,詩人,6000
しずか,静,2000
しずく,,6000
しずまる,静,6000
しずむ,沈,2000
しずめる,沈,6000
しせい,姿勢,6000
しせつ,施設,6000
しぜん,自然,2000
しぜんかがく,自然科学,6000
しそう,思想,2000
しそん,子孫,6000
した,下,2000
したい,死体,6000
したがう,従,2000
したがき,下書,6000
したがって,従,2000
したぎ,下着,2000
したく,仕度,2000
したしい,親,2000
したしみ,親,6000
したしむ,親,6000
したてる,仕立,6000
したまち,下町,6000
しだい,次第,6000
しち,七,2000
しちょう,市長,6000
しっかり,,2000
しっき,湿気,6000
しっけ,湿気,6000
しっそ,質素,6000
しっと,嫉妬,6000
しっぱい,失敗,2000
しっぴつ,執筆,6000
しっぽ,,6000
しつ,質,6000
しつぎょう,失業,2000
しつけ,躾,6000
しつこい,,6000
しつど,湿度,6000
しつない,室内,6000
しつぼう,失望,6000
しつもん,質問,2000
しつれい,失礼,2000
してい,指定,6000
してき,指摘,6000
してつ,私鉄,6000
してん,支店,6000
しとやか,,6000
しどう,指導,2000
しな,品,6000
しない,市内,6000
しなもの,品物,2000
しなやか,,6000
しぬ,死,2000
しはい,支配,2000
しはつ,始発,6000
しはらい,支払,6000
しはらう,支払,6000
しばい,芝居,2000
しばしば,,6000
しばふ,芝生,6000
しばらく,,2000
しばる,縛,2000
しびれる,,6000
しぶい,渋,2000
しほん,資本,6000
しほんか,資本家,6000
しぼう,死亡,6000
しぼる,絞,6000
しま,島,2000
しまい,仕舞,6000
しまう,仕舞,2000
しまった,,6000
しまつ,始末,6000
しまる,締・閉,2000
しみじみ,,6000
しみる,染,6000
しみん,市民,2000
しめい,氏名,6000
しめきる,締切,6000
しめす,示,2000
しめっぽい,湿,6000
しめる,締・閉,2000
しも,下,6000
しゃいん,社員,6000
しゃかい,社会,2000
しゃかいかがく,社会科学,6000
しゃがむ,,6000
しゃこ,車庫,6000
しゃしょう,車掌,6000
しゃしん,写真,2000
しゃせい,写生,6000
しゃせつ,社説,6000
しゃちょう,社長,6000
しゃっきん,借金,6000
しゃっくり,,6000
しゃどう,車道,6000
しゃない,車内,6000
しゃべる,,2000
しゃりん,車輪,6000
しゃれ,洒落,6000
しやくしょ,市役所,6000
しゅう,週,2000
しゅうい,周囲,6000
しゅういん,衆議院・衆院,6000
しゅうかく,収穫,6000
しゅうかん,習慣,2000
しゅうきょう,宗教,2000
しゅうぎいん,衆議院・衆院,6000
しゅうげき,襲撃,6000
しゅうごう,集合,6000
しゅうし,収支,6000
しゅうしゅう,収集・蒐集,6000
しゅうしょく,就職,2000
しゅうしょくご,修飾語,6000
しゅうせい,修正,6000
しゅうだん,集団,6000
しゅうちゃく,執着,6000
しゅうちゅう,集中,6000
しゅうてん,終点,6000
しゅうにゅう,収入,2000
しゅうにん,就任,6000
しゅうへん,周辺,6000
しゅうまつ,週末,6000
しゅうよう,収容,6000
しゅうり,修理,2000
しゅうりょう,終了,6000
しゅえい,守衛,6000
しゅえん,主演,6000
しゅかん,主観,6000
しゅかんてき,主観的,6000
しゅぎ,主義,2000
しゅくじつ,祝日,6000
しゅくだい,宿題,6000
しゅご,主語,6000
しゅさい,主催,6000
しゅし,趣旨,6000
しゅしょう,首相,6000
しゅしょく,主食,6000
しゅじゅ,種々,6000
しゅじゅつ,手術,2000
しゅじん,主人,2000
しゅだい,主題,6000
しゅだん,手段,2000
しゅちょう,主張,2000
しゅっきん,出勤,6000
しゅっけつ,出血,6000
しゅっさん,出産,6000
しゅっしょう,出生,6000
しゅっしん,出身,6000
しゅっせ,出世,6000
しゅっせき,出席,2000
しゅっちょう,出張,6000
しゅっぱつ,出発,2000
しゅっぱん,出版,2000
しゅっぱんしゃ,出版社,6000
しゅっぴん,出品,6000
しゅつえん,出演,6000
しゅつじょう,出場,6000
しゅと,首都,6000
しゅにん,主任,6000
しゅび,守備,6000
しゅふ,主婦,6000
しゅみ,趣味,2000
しゅやく,主役,6000
しゅよう,主要,6000
しゅるい,種類,2000
しゅんかん,瞬間,6000
しょう,昭和・昭,2000
しょうか,消化,6000
しょうかい,紹介,2000
しょうがい,生涯,6000
しょうがくきん,奨学金,6000
しょうがくせい,小学生,6000
しょうがっこう,小学校,2000
しょうがつ,正月,2000
しょうきょくてき,消極的,6000
しょうぎ,将棋,6000
しょうぎょう,商業,2000
しょうこ,証拠,6000
しょうご,正午,6000
しょうさい,詳細,6000
しょうしゃ,商社,6000
しょうしょう,少々,6000
しょうじ,障子,6000
しょうじき,正直,2000
しょうじょ,少女,2000
しょうじょう,症状,6000
しょうじる,生,6000
しょうすう,少数,6000
しょうせつ,小説,2000
しょうたい,招待,2000
しょうだく,承諾,6000
しょうち,承知,2000
しょうちょう,象徴,6000
しょうてん,商店,6000
しょうとつ,衝突,6000
しょうどく,消毒,6000
しょうにん,承認,6000
しょうねん,少年,2000
しょうはい,勝敗,6000
しょうばい,商売,2000
しょうひ,消費,6000
しょうひん,商品,2000
しょうぶ,勝負,6000
しょうべん,小便,6000
しょうぼう,消防,6000
しょうめい,証明,2000
しょうめん,正面,6000
しょうもう,消耗,6000
しょうゆ,醤油,2000
しょうらい,将来,2000
しょうり,勝利,6000
しょうりゃく,省略,6000
しょうりょう,小量・少量,6000
しょうれい,奨励,6000
しょうわ,昭和・昭,2000
しょきゅう,初級,6000
しょくいん,職員,6000
しょくぎょう,職業,2000
しょくじ,食事,2000
しょくたく,食卓,6000
しょくどう,食堂,2000
しょくにん,職人,6000
しょくば,職場,6000
しょくひ,食費,6000
しょくひん,食品,6000
しょくぶつ,植物,2000
しょくぶつえん,植物園,6000
しょくもつ,食物,6000
しょくよく,食欲,6000
しょくりょう,食料,6000
しょこく,諸国,6000
しょさい,書斎,6000
しょぞく,所属,6000
しょち,処置,6000
しょっき,食器,6000
しょっちゅう,,6000
しょとく,所得,6000
しょばつ,処罰,6000
しょぶん,処分,6000
しょほ,初歩,6000
しょみん,庶民,6000
しょめい,署名,6000
しょもつ,書物,6000
しょゆう,所有,6000
しょり,処理,6000
しょるい,書類,6000
しよう,使用,2000
しようにん,使用人,6000
しらせ,知,6000
しらせる,知,2000
しらべ,調,6000
しらべる,調,2000
しり,尻,6000
しりあい,知合,2000
しりつ,私立,6000
しりょう,資料,6000
しる,知,2000
しるし,印,2000
しるす,記,6000
しれる,知,6000
しろ,白,2000
しろい,白,2000
しろうと,素人,6000
しわ,皺,6000
しん,芯,6000
しんかんせん,新幹線,6000
しんがく,進学,6000
しんがっき,新学期,6000
しんけい,神経,2000
しんけん,真剣,6000
しんこう,信仰,2000
しんこく,深刻,6000
しんこん,新婚,6000
しんごう,信号,2000
しんさつ,診察,6000
しんし,紳士,6000
しんしつ,寝室,6000
しんしゅつ,進出,6000
しんじつ,真実,6000
しんじる,信,2000
しんじん,新人,6000
しんせい,申請,6000
しんせき,親戚,2000
しんせつ,親切,2000
しんせん,新鮮,6000
しんぜん,親善,6000
しんそう,真相,6000
しんぞう,心臓,2000
しんたい,身体,6000
しんだい,寝台,6000
しんだん,診断,6000
しんちく,新築,6000
しんちょう,身長,2000
しんぢゅう,心中,6000
しんとう,新道,6000
しんどう,振動,6000
しんねん,新年,2000
しんぱい,心配,2000
しんぴ,神秘,6000
しんぶん,新聞,2000
しんぶんしゃ,新聞社,6000
しんぼう,辛抱,6000
しんぽ,進歩,2000
しんゆう,親友,6000
しんよう,信用,2000
しんらい,信頼,6000
しんり,心理,6000
しんりゃく,侵略,6000
しんりん,森林,6000
しんるい,親類,6000
じ,字,2000
じいさん,,2000
じえい,自衛,6000
じか,直,6000
じかく,自覚,6000
じかん,時間,2000
じかんわり,時間割,6000
じき,直,6000
じぎょう,事業,6000
じく,軸,6000
じけん,事件,2000
じこ,事故,2000
じこく,時刻,6000
じごく,地獄,6000
じさつ,自殺,6000
じしゅう,自習,6000
じしょ,辞書,2000
じしん,地震,2000
じじつ,事実,2000
じじょ,次女,6000
じじょう,事情,2000
じたい,事態,6000
じたく,自宅,6000
じだい,時代,2000
じち,自治,6000
じっかん,実感,6000
じっけん,実験,2000
じっこう,実行,2000
じっさい,実際,2000
じっし,実施,6000
じっせき,実績,6000
じっせん,実践,6000
じったい,実態,6000
じっと,,6000
じつ,実,6000
じつげん,実現,2000
じつじょう,実情,6000
じつぶつ,実物,6000
じつよう,実用,6000
じつりょく,実力,6000
じつれい,実例,6000
じてん,辞典,6000
じてんしゃ,自転車,2000
じどう,自動,6000
じどうしゃ,自動車,2000
じなん,次男,6000
じぬし,地主,6000
じびき,字引,2000
じぶん,自分,2000
じまん,自慢,6000
じみ,地味,2000
じむ,事務,2000
じむいん,事務員,6000
じむしつ,事務室,6000
じむしょ,事務所,2000
じめん,地面,6000
じゃあ,,6000
じゃがいも,,6000
じゃく,弱,6000
じゃま,邪魔,2000
じゅう,十,2000
じゅうきょ,住居,6000
じゅうしょ,住所,2000
じゅうじつ,充実,6000
じゅうじろ,十字路,6000
じゅうたく,住宅,6000
じゅうだい,重大,6000
じゅうてん,重点,6000
じゅうどう,柔道,6000
じゅうぶん,十分,2000
じゅうみん,住民,6000
じゅうやく,重役,6000
じゅうよう,重要,2000
じゅうらい,従来,6000
じゅぎょう,授業,2000
じゅくご,熟語,6000
じゅけん,受験,2000
じゅつご,述語,6000
じゅみょう,寿命,6000
じゅよう,需要,6000
じゅわき,受話器,6000
じゅん,順,2000
じゅんかん,循環,6000
じゅんきゅう,準急,6000
じゅんさ,巡査,2000
じゅんじゅん,順々,6000
じゅんじょ,順序,2000
じゅんじょう,純情,6000
じゅんすい,純粋,6000
じゅんちょう,順調,6000
じゅんばん,順番,6000
じゅんび,準備,2000
じゆう,自由,2000
じょ,女,6000
じょう,上,2000
じょうえん,上演,6000
じょうきゃく,乗客,6000
じょうきゅう,上級,6000
じょうきょう,上京,6000
じょうくう,上空,6000
じょうけん,条件,2000
じょうげ,上下,6000
じょうしき,常識,2000
じょうしゃ,乗車,2000
じょうしゃけん,乗車券,6000
じょうしょう,上昇,6000
じょうじゅん,上旬,6000
じょうず,上手,2000
じょうせい,情勢,6000
じょうたい,状態,2000
じょうだん,冗談,6000
じょうちょ,情緒,6000
じょうとう,上等,6000
じょうねつ,情熱,6000
じょうはつ,蒸発,6000
じょうひん,上品,2000
じょうぶ,丈夫,2000
じょうほう,情報,6000
じょうやく,条約,6000
じょうりく,上陸,6000
じょおう,女王,6000
じょがい,除外,6000
じょきょうじゅ,助教授,6000
じょこう,徐行,6000
じょし,女子,6000
じょしゅ,助手,6000
じょせい,女性,2000
じょせいてき,女性的,6000
じょどうし,助動詞,6000
じょゆう,女優,6000
じる,論,6000
じんかく,人格,6000
じんこう,人口,2000
じんしゅ,人種,6000
じんじ,人事,6000
じんじゃ,神社,2000
じんせい,人生,2000
じんたい,人体,6000
じんぶつ,人物,6000
じんぶんかがく,人文科学,6000
じんみん,人民,6000
じんるい,人類,6000
す,巣,6000
すい,水曜・水,2000
すいえい,水泳,2000
すいか,西瓜,6000
すいさん,水産,6000
すいしん,推進,6000
すいじ,炊事,6000
すいじゅん,水準,6000
すいせん,推薦,2000
すいそ,水素,6000
すいそく,推測,6000
すいちょく,垂直,6000
すいでん,水田,6000
すいどう,水道,2000
すいばく,水爆,6000
すいぶん,水分,6000
すいへい,水平,6000
すいみん,睡眠,6000
すいめん,水面,6000
すいよう,水曜・水,2000
すいり,推理,6000
すう,吸,2000
すうがく,数学,6000
すうし,数詞,6000
すうじ,数字,2000
すうはい,崇拝,6000
すえ,末,6000
すえこ,末子,6000
すえっこ,末子,6000
すえる,据,6000
すがすがしい,,6000
すがた,姿,2000
すき,好,2000
すきとおる,透通,6000
すきま,隙間,6000
すきやき,,6000
すぎ,杉,6000
すぎる,過,2000
すく,空,2000
すくい,救,6000
すくう,掬,6000
すくない,少,2000
すくなくとも,少,6000
すぐ,,2000
すぐれる,優,6000
すこし,少,2000
すこしも,少,6000
すごい,,6000
すごす,過,2000
すし,鮨・寿司,6000
すじ,筋,2000
すすむ,進,2000
すすめる,進・勧,2000
すず,鈴,6000
すずしい,涼,2000
すずむ,涼,6000
すずめ,雀,6000
すそ,裾,6000
すっかり,,2000
すっきり,,6000
すっと,,6000
すっぱい,,2000
すてき,素敵,6000
すてる,捨・棄,2000
すで,既,6000
すな,砂,2000
すなお,素直,6000
すなわち,,2000
すばやい,素早,6000
すばらしい,素晴,2000
すべて,,2000
すべる,滑,2000
すまい,住,2000
すます,済,6000
すませる,済,6000
すまない,,6000
すみ,隅,2000
すみません,,2000
